metric,n,mean,std,median,minimum,maximum,cv_percent,ci95_lower,ci95_upper
motion_duration_s,10,149.6337520122528,7.8256402080612615,151.55073177814484,135.80208277702332,163.91336512565613,5.229862984001401,144.03601517414984,155.2314888503558
gt_path_length_m,10,6.385284846368526,0.0015388398281396458,6.385295999592029,6.383085561792345,6.3881388462977355,0.0240997835674445,6.384184103149455,6.386385589587597
gt_closure_error_m,10,0.07081677268422797,0.004141255451677251,0.07026995830126345,0.06607980155231852,0.07936678145395955,5.847845495788281,0.06785450281473296,0.07377904255372297
gt_ccw_x_diameter_m,10,1.0424464905812962,0.0011087004007643377,1.04234931164371,1.0411885467447732,1.0444872825954596,0.10635561736565458,1.041653429194525,1.0432395519680675
gt_ccw_y_diameter_m,10,1.0433104489792482,0.0007810151618843204,1.0433183012900096,1.0415477625055194,1.044563236186815,0.07485932520358138,1.042751783205387,1.0438691147531094
gt_cw_x_diameter_m,10,1.0169796181207527,0.0013935539770719753,1.016854984282882,1.0142574379354579,1.0186562589880408,0.13702870266437428,1.0159827989179857,1.0179764373235196
gt_cw_y_diameter_m,10,1.0203836281842047,0.001304757082919069,1.0200621464413528,1.0187964137048189,1.023233053972698,0.12786926866328827,1.0194503260397605,1.021316930328649
gt_ccw_radial_rmse_m,10,0.020870201146716175,0.0005045680293895764,0.020881369766855278,0.020275217618798125,0.02178034573601497,2.417648137852125,0.02050927999900821,0.02123112229442414
gt_cw_radial_rmse_m,10,0.07901400783314315,0.003200379419576908,0.07933211075333811,0.07469162151597508,0.08558617518427154,4.050394996207849,0.07672475337004914,0.08130326229623716
gt_ccw_rotation_deg,10,354.9708960320228,0.43988634832162,355.0185945626551,354.30641349783247,355.5229991570471,0.12392180689707497,354.65624215692617,355.2855499071194
gt_cw_rotation_deg,10,-359.1388635202178,0.36649796780489674,-359.1845188745144,-359.7397418939628,-358.37582027549735,0.10204909716886283,-359.40102215784054,-358.87670488259505
ekf_path_length_m,10,6.431301939540522,0.0009427671760699591,6.431147581657527,6.429893736586026,6.433197273482914,0.014659040812151856,6.430627571385211,6.431976307695834
ekf_closure_error_m,10,0.019219265095807545,0.000987214065468509,0.019505480138529527,0.018029565056077154,0.02067750913801283,5.136585923276837,0.018513103760192613,0.019925426431422477
ekf_net_yaw_deg,10,1.4086567099519787,0.15034987107489992,1.451672593317827,1.157615921810203,1.57331455685195,10.673279729028186,1.3011103636411632,1.5162030562627942
ekf_position_rmse_m,10,0.08633437673659775,0.004042738797392205,0.08580742280086918,0.08179962936724715,0.09498762351576233,4.682652438351894,0.08344257653989577,0.08922617693329972
ekf_maximum_position_error_m,10,0.15678788012694506,0.007575645148547296,0.15504079129652223,0.1491933089690131,0.1730226811791085,4.83177981768335,0.15136896655655935,0.16220679369733076
ekf_yaw_rmse_deg,10,4.792108905935474,0.2925296137193156,4.719764466675162,4.411619910361134,5.336668864245666,6.104402455398924,4.582860365060079,5.001357446810869
ekf_maximum_yaw_error_deg,10,6.54601042957365,0.34394186874557625,6.51335244559459,6.12876578057214,7.054583520478028,5.254221215287273,6.2999863321637255,6.792034526983575
ekf_heading_error_std_deg,10,1.8833888550215565,0.11765999550690151,1.8807732886254656,1.7613585470528441,2.147099313914021,6.247249217451423,1.7992258122916402,1.9675518977514728
ekf_D_rot_deg,10,6.499509692050884,0.4277121154941722,6.604024665385509,5.851446697392134,7.116028658474022,6.58068278623045,6.193564133432131,6.805455250669636
ekf_D_trans_final_m,10,0.055249727344073164,0.004544629407619427,0.05517605966045746,0.048683038304437126,0.06383852477593169,8.225614181437123,0.0519989211768855,0.058500533511260826
