time_s,x_m,y_m,yaw_rad,yaw_deg
0.000000000,0.000000000,0.000000000,0.000000000,0.000000
0.066378355,0.000000000,0.000000000,-0.000009316,-0.000534
0.099952936,0.000000000,0.000000000,-0.000036442,-0.002088
0.166344166,0.000000000,0.000000000,-0.000060601,-0.003472
0.199943304,0.000000000,0.000000000,-0.000084736,-0.004855
0.266344070,0.000000000,0.000000000,-0.000104063,-0.005962
0.299786568,0.000000000,0.000000000,-0.000078988,-0.004526
0.366364956,0.000000000,0.000000000,-0.000040362,-0.002313
0.399904251,0.000000000,0.000000000,-0.000010880,-0.000623
0.466363192,0.000000000,0.000000000,0.000017635,0.001010
0.500151157,0.000000000,0.000000000,-0.000004732,-0.000271
0.566354036,0.000000000,0.000000000,-0.000023256,-0.001332
0.599740028,0.000000000,0.000000000,-0.000025495,-0.001461
0.666730404,0.000000000,0.000000000,0.000004529,0.000259
0.699755669,0.000000000,0.000000000,0.000035780,0.002050
0.766432762,0.000000000,0.000000000,0.000074771,0.004284
0.799788952,0.000000000,0.000000000,0.000087502,0.005014
0.866520405,0.000000000,0.000000000,0.000068112,0.003903
0.899822712,0.000000000,0.000000000,0.000021420,0.001227
0.966357708,0.000000000,0.000000000,-0.000020884,-0.001197
0.999752045,0.000000000,0.000000000,-0.000036713,-0.002104
1.066336155,-0.000144378,-0.000000001,-0.000052363,-0.003000
1.099813938,0.002185347,-0.000000047,0.002372260,0.135920
1.166563034,0.004621052,0.000003044,0.010007303,0.573376
1.199786901,0.006771722,0.000017203,0.011532470,0.660762
1.266447067,0.010827538,0.000052478,0.012903176,0.739298
1.301401377,0.014859563,0.000093134,0.013096565,0.750378
1.366389275,0.021156310,0.000164933,0.012684520,0.726769
1.399799824,0.026095836,0.000222669,0.010170832,0.582746
1.466378212,0.033623812,0.000298368,0.006188368,0.354567
1.499797583,0.039213793,0.000336028,0.004302803,0.246532
1.566372633,0.047141186,0.000371484,0.002634000,0.150917
1.599814415,0.052440520,0.000384847,0.001384439,0.079323
1.666506767,0.060384398,0.000395730,-0.001131907,-0.064854
1.699800730,0.066095800,0.000391066,-0.002013178,-0.115347
1.766380072,0.074292920,0.000373256,-0.002348761,-0.134574
1.799778461,0.079995098,0.000359048,-0.003109516,-0.178162
1.866393805,0.088565670,0.000332277,-0.004875332,-0.279336
1.899744034,0.094392314,0.000303290,-0.005831150,-0.334100
1.966402054,0.102888453,0.000251530,-0.007805998,-0.447251
1.999758482,0.108445810,0.000206966,-0.009386742,-0.537821
2.066440821,0.095771361,0.000097792,-0.011519843,-0.660038
2.099665403,-0.045357064,-0.000158607,-0.014979329,-0.858252
2.166432619,-0.088732772,-0.000362918,-0.017162166,-0.983320
2.199815273,-0.083167047,-0.000460215,-0.017729359,-1.015817
2.266363144,-0.074986269,-0.000607472,-0.018279026,-1.047311
2.299758673,-0.069412149,-0.000710773,-0.018385239,-1.053397
2.366452694,-0.061110858,-0.000864923,-0.019107940,-1.094804
2.399841547,-0.055403061,-0.000972761,-0.019056881,-1.091879
2.466345549,-0.046809443,-0.001137132,-0.017381761,-0.995902
2.499743223,-0.041498425,-0.001231072,-0.016902132,-0.968421
2.566470385,-0.033368220,-0.001368934,-0.017485221,-1.001829
2.599764347,-0.027643560,-0.001469215,-0.018086638,-1.036288
2.666414499,-0.019073764,-0.001623163,-0.018620196,-1.066859
2.700844526,-0.012942373,-0.001737429,-0.018125941,-1.038540
2.766491175,-0.004272819,-0.001896588,-0.018700672,-1.071470
2.799672842,0.001293973,-0.002000330,-0.020055251,-1.149081
2.866731644,0.009346220,-0.002163300,-0.020842606,-1.194193
2.899844885,0.014935280,-0.002279502,-0.020645553,-1.182903
2.966392994,0.023648278,-0.002459121,-0.019467217,-1.115389
2.999712706,0.028825219,-0.002561644,-0.019090580,-1.093810
3.066463470,0.036946281,-0.002717334,-0.019993595,-1.145549
3.099786997,0.042819576,-0.002834178,-0.020812862,-1.192489
3.166514397,0.051530871,-0.003015195,-0.021618500,-1.238649
3.200001001,0.056845579,-0.003130595,-0.021698909,-1.243256
3.266456366,0.065125449,-0.003311918,-0.021564803,-1.235572
3.299793243,0.070991801,-0.003438384,-0.022519537,-1.290274
3.366463900,0.053365235,-0.003675798,-0.025163920,-1.441786
3.400261879,-0.116295428,-0.004214323,-0.036628495,-2.098658
3.466415644,-0.166250031,-0.004695116,-0.041875779,-2.399305
3.499794006,-0.160601842,-0.004931926,-0.043495132,-2.492088
3.566381693,-0.151916050,-0.005310253,-0.045773040,-2.622602
3.599838018,-0.146743126,-0.005549189,-0.046698375,-2.675620
3.666383743,-0.138339980,-0.005942587,-0.047132150,-2.700473
3.699755430,-0.133284532,-0.006183728,-0.047782879,-2.737757
3.766425848,-0.124936475,-0.006581557,-0.048532541,-2.780710
3.799852848,-0.119491749,-0.006845852,-0.047636195,-2.729353
3.866504192,-0.111419030,-0.007231294,-0.045614996,-2.613547
3.899832249,-0.105538804,-0.007499715,-0.044319985,-2.539348
3.966464520,-0.096995655,-0.007879071,-0.042731611,-2.448341
3.999703169,-0.091261928,-0.008123885,-0.041926458,-2.402209
4.066411734,-0.082675825,-0.008484471,-0.040520976,-2.321681
4.099868536,-0.076813507,-0.008723146,-0.040369076,-2.312978
4.166456699,-0.068051977,-0.009076930,-0.041011975,-2.349813
4.199765921,-0.062451326,-0.009306931,-0.041444791,-2.374612
4.266331196,-0.053853317,-0.009663328,-0.042270830,-2.421940
4.299952745,-0.048261892,-0.009900214,-0.042727638,-2.448113
4.366371393,-0.039665433,-0.010268612,-0.043933105,-2.517181
4.399801731,-0.034062547,-0.010514683,-0.045163476,-2.587677
4.466489315,-0.025467583,-0.010902787,-0.046115181,-2.642205
4.499827862,-0.020016114,-0.011155299,-0.046386728,-2.657764
4.566608429,-0.011596418,-0.011546449,-0.046877744,-2.685897
4.599740744,-0.005998261,-0.011809239,-0.047209512,-2.704906
4.666443825,-0.023050119,-0.012258867,-0.050041900,-2.867190
4.699905396,-0.191302409,-0.012988785,-0.066234370,-3.794950
