time_s,x_m,y_m,yaw_rad,yaw_deg
0.000000000,0.000000000,0.000000000,0.000000000,0.000000
0.066786289,0.000000000,0.000000000,0.000019016,0.001090
0.100108862,0.000000000,0.000000000,0.000025342,0.001452
0.166808367,0.000000000,0.000000000,0.000035143,0.002014
0.200067997,0.000000000,0.000000000,-0.000005419,-0.000310
0.266814947,0.000000000,0.000000000,-0.000046438,-0.002661
0.300117493,0.000000000,0.000000000,-0.000062959,-0.003607
0.366743088,0.000000000,0.000000000,-0.000105751,-0.006059
0.400217772,0.000000000,0.000000000,-0.000128905,-0.007386
0.466815472,0.000000000,0.000000000,-0.000167632,-0.009605
0.500056505,0.000000000,0.000000000,-0.000161596,-0.009259
0.566861868,0.000000000,0.000000000,-0.000144793,-0.008296
0.599992275,0.000000000,0.000000000,-0.000147788,-0.008468
0.666854858,0.000000000,0.000000000,-0.000194029,-0.011117
0.700044394,0.000000000,0.000000000,-0.000236795,-0.013567
0.766752720,0.000000000,0.000000000,-0.000293667,-0.016826
0.800005674,0.000000000,0.000000000,-0.000303138,-0.017369
0.866925001,0.000000000,0.000000000,-0.000320842,-0.018383
0.900127411,0.000000000,0.000000000,-0.000317642,-0.018200
0.966786385,0.000000000,0.000000000,-0.000290476,-0.016643
1.000044346,0.000000000,0.000000000,-0.000307658,-0.017627
1.067049503,0.000000000,0.000000000,-0.000307979,-0.017646
1.100142002,0.001506904,-0.000000370,0.002301595,0.131872
1.166889191,0.003567017,0.000001749,0.010908488,0.625010
1.200156212,0.005726050,0.000015012,0.012952552,0.742127
1.266798496,0.008992329,0.000047947,0.014210729,0.814215
1.300076246,0.012761916,0.000088369,0.014487229,0.830057
1.366759777,0.018491655,0.000160844,0.014984974,0.858576
1.400083780,0.023447550,0.000226783,0.014644049,0.839042
1.466822624,0.030440292,0.000325021,0.013263155,0.759923
1.500197887,0.035634395,0.000392367,0.012119101,0.694373
1.566811562,0.043273676,0.000485479,0.010589093,0.606710
1.600166082,0.048367518,0.000539088,0.010317718,0.591162
1.666883945,0.056596805,0.000623427,0.008968781,0.513873
1.700144053,0.062178074,0.000674135,0.007575734,0.434058
1.766780615,0.070196207,0.000735363,0.006554039,0.375519
1.800143003,0.075627693,0.000769824,0.006490940,0.371903
1.866801500,0.083675162,0.000820845,0.005226956,0.299483
1.900201559,0.088965508,0.000848123,0.003921579,0.224690
1.966863155,0.097468993,0.000882114,0.002642905,0.151427
2.000147820,0.102898084,0.000895387,0.002342135,0.134194
2.066819191,0.111169495,0.000913967,0.001780733,0.102029
2.100156069,0.115917547,0.000919262,0.000914247,0.052382
2.166972876,0.124354593,0.000928338,-0.001082259,-0.062009
2.200135231,0.129677534,0.000921934,-0.001046764,-0.059975
2.266942501,0.138066023,0.000911354,-0.000929634,-0.053264
2.300194740,0.143484901,0.000905895,-0.002161427,-0.123841
2.366944075,0.151888008,0.000886744,-0.004158480,-0.238263
2.400201797,0.157453720,0.000862958,-0.005974096,-0.342290
2.466883183,0.165592548,0.000813460,-0.008127685,-0.465682
2.500182629,0.170768070,0.000768456,-0.008672349,-0.496889
2.566882133,0.178988376,0.000696040,-0.009974676,-0.571507
2.600180626,0.184294615,0.000642024,-0.010916675,-0.625479
2.666841269,0.192945210,0.000547814,-0.012216888,-0.699976
2.700131655,0.198813121,0.000478680,-0.012580357,-0.720801
2.766908646,0.207379397,0.000368207,-0.011559804,-0.662328
2.800369263,0.212855790,0.000303884,-0.012759339,-0.731056
2.866831779,0.221018729,0.000199210,-0.014214047,-0.814405
2.900318623,0.226593584,0.000119180,-0.014464733,-0.828768
2.966976404,0.235020232,-0.000003759,-0.015366275,-0.880423
3.000198841,0.240467872,-0.000088435,-0.016402524,-0.939795
3.066920042,0.249522751,-0.000236206,-0.018179992,-1.041637
3.100155592,0.255315796,-0.000341962,-0.019889532,-1.139586
3.166914463,0.263836448,-0.000512457,-0.022253929,-1.275056
3.200104237,0.269129305,-0.000633227,-0.022928571,-1.313710
3.266823053,0.277709181,-0.000830019,-0.023467336,-1.344579
3.300188065,0.283297325,-0.000962254,-0.023556326,-1.349678
3.366883755,0.291750725,-0.001162253,-0.023747857,-1.360652
3.400315046,0.297336354,-0.001294186,-0.023231106,-1.331044
3.466876984,0.305786432,-0.001491481,-0.021178636,-1.213446
3.500107765,0.311230646,-0.001607711,-0.020585190,-1.179445
3.566856861,0.319505443,-0.001778851,-0.020819918,-1.192893
3.600440979,0.324827481,-0.001889732,-0.021496208,-1.231642
3.666822433,0.333059351,-0.002065593,-0.021657062,-1.240858
3.700304508,0.338653790,-0.002187168,-0.020690105,-1.185456
3.766916990,0.347200114,-0.002364416,-0.019892180,-1.139738
3.800096750,0.352517126,-0.002470332,-0.019824481,-1.135859
3.866934538,0.360770036,-0.002633600,-0.019604970,-1.123282
3.900463581,0.366628907,-0.002748204,-0.018969327,-1.086862
3.966943264,0.374927690,-0.002906249,-0.018072416,-1.035473
4.000061274,0.380386378,-0.003005434,-0.018297620,-1.048376
4.066864967,0.389073949,-0.003164568,-0.019398959,-1.111478
4.100239515,0.394815338,-0.003275293,-0.019982822,-1.144931
4.166908503,0.403399241,-0.003446283,-0.019813428,-1.135226
4.200139999,0.409278194,-0.003562465,-0.019005804,-1.088952
4.267022133,0.417774353,-0.003724479,-0.017716300,-1.015069
4.300138712,0.423344368,-0.003823951,-0.017624786,-1.009826
4.366797686,0.431077607,-0.003959886,-0.018374629,-1.052789
4.400065184,0.436686200,-0.004062763,-0.018656656,-1.068948
4.466844559,0.445065388,-0.004219684,-0.019191491,-1.099591
4.500123978,0.450531176,-0.004324230,-0.019866152,-1.138247
4.566812992,0.459045523,-0.004492275,-0.019878471,-1.138953
4.600036144,0.464790867,-0.004606662,-0.019161596,-1.097879
4.666873932,0.473224040,-0.004768874,-0.018628219,-1.067318
4.700147152,0.479237397,-0.004882039,-0.019314248,-1.106625
4.766933680,0.487858086,-0.005048695,-0.021660599,-1.241061
4.800222397,0.493319341,-0.005166461,-0.022641933,-1.297287
4.866809130,0.501615026,-0.005355207,-0.022646376,-1.297542
4.900038004,0.507222296,-0.005483176,-0.023176869,-1.327937
4.966763020,0.515778325,-0.005681548,-0.024973282,-1.430864
5.000119686,0.521536987,-0.005825257,-0.026326553,-1.508400
