trajectory,samples,duration_s,path_length_m,closure_error_m,yaw_error_deg,cross_track_rmse_m,maximum_cross_track_m
wheel,1018,50.84018039703369,4.124531734760785,0.26037410265765826,-18.357487922705698,0.11339381299817387,0.21370814638761226
ekf,1018,50.83330750465393,4.122472717815647,0.017671022753642802,-2.924231057519169,0.023583316484494,0.03919661951410869
slam,1018,50.83330750465393,9.5344473393753,0.24594405030513392,-18.521288156570474,0.5558268176185439,0.8926113746035274
