time_s,x_m,y_m,yaw_rad,yaw_deg
0.000000000,0.000000000,0.000000000,0.000000000,0.000000
0.033452034,0.000000000,0.000000000,-0.000008167,-0.000468
0.099968433,0.000000000,0.000000000,-0.000036835,-0.002110
0.133362055,0.000000000,0.000000000,-0.000032845,-0.001882
0.200007915,0.000000000,0.000000000,-0.000037671,-0.002158
0.233384609,0.000000000,0.000000000,-0.000046832,-0.002683
0.300000429,0.000000000,0.000000000,0.000009696,0.000556
0.333256960,0.000000000,0.000000000,0.000003237,0.000185
0.400054693,0.000000000,0.000000000,0.000040697,0.002332
0.433327675,0.000000000,0.000000000,0.000086749,0.004970
0.499974251,0.000000000,0.000000000,0.000091840,0.005262
0.533623457,0.000000000,0.000000000,0.000102976,0.005900
0.600037813,0.000000000,0.000000000,0.000107439,0.006156
0.633351803,0.000000000,0.000000000,0.000119892,0.006869
0.700025082,0.000000000,0.000000000,0.000177153,0.010150
0.733355284,0.000000000,0.000000000,0.000184124,0.010550
0.799947977,0.000000000,0.000000000,0.000205678,0.011785
0.833503485,0.000000000,0.000000000,0.000233446,0.013375
0.899948597,0.000000000,0.000000000,0.000245116,0.014044
0.933323383,0.000000000,0.000000000,0.000266725,0.015282
0.999948025,0.000000000,0.000000000,0.000299673,0.017170
1.033276320,-0.000410922,-0.000000085,0.000279676,0.016024
1.100013256,0.001848392,0.000000290,0.003225061,0.184782
1.133301497,0.003606287,0.000003027,0.009212747,0.527852
1.199970245,0.006022255,0.000019455,0.012676014,0.726282
1.233312368,0.008989226,0.000045120,0.012766715,0.731479
1.300108194,0.013191641,0.000091391,0.013376478,0.766416
1.333332539,0.017625441,0.000140859,0.014008844,0.802648
1.399995804,0.024042479,0.000223574,0.014662920,0.840123
1.433313847,0.029385054,0.000296021,0.015320687,0.877811
1.499935389,0.036450506,0.000402203,0.016664291,0.954794
1.533345938,0.041628697,0.000485986,0.017353349,0.994274
1.600109816,0.049369656,0.000618104,0.017467509,1.000815
1.633476973,0.054671148,0.000710456,0.016730355,0.958579
1.700024843,0.062428252,0.000840716,0.015925701,0.912475
1.733496428,0.067601993,0.000924226,0.015919719,0.912133
1.799999475,0.075414370,0.001047637,0.016303762,0.934137
1.833295584,0.080433683,0.001129458,0.014994966,0.859148
1.900001049,0.088046790,0.001243942,0.012438826,0.712692
1.933355331,0.093557794,0.001313088,0.011142288,0.638406
1.999999762,0.101723910,0.001403328,0.009656187,0.553259
2.033296108,0.106882039,0.001452154,0.008206503,0.470198
2.099955559,0.114919138,0.001516975,0.005954661,0.341177
2.133337021,0.120347013,0.001548488,0.004013548,0.229959
2.200068235,-0.091548694,-0.006200230,-0.027085334,-1.551875
2.233355284,-0.085842344,-0.006353867,-0.028789148,-1.649497
2.300103664,-0.077569446,-0.006594553,-0.030688765,-1.758337
2.333514929,-0.071874347,-0.006770062,-0.032594065,-1.867502
2.400135517,-0.063436439,-0.007046694,-0.035801744,-2.051289
2.433367968,-0.057873252,-0.007247331,-0.037664304,-2.158006
2.499974489,-0.049284115,-0.007571042,-0.039533461,-2.265100
2.533468723,-0.043992903,-0.007784722,-0.040153949,-2.300652
2.600078106,-0.035562263,-0.008125365,-0.042047605,-2.409150
2.633347511,-0.030135071,-0.008354415,-0.043242171,-2.477594
2.700091839,-0.021422082,-0.008731294,-0.043629986,-2.499814
2.733549595,-0.015858589,-0.008975680,-0.044100216,-2.526756
2.800110817,-0.007546770,-0.009344504,-0.045054086,-2.581409
2.833514690,-0.001696163,-0.009608281,-0.045999878,-2.635599
2.900225639,0.007058667,-0.010010100,-0.047020723,-2.694089
2.933559656,0.012763183,-0.010279515,-0.046451558,-2.661478
3.000095606,0.021549388,-0.010689145,-0.045997390,-2.635456
3.033539772,0.027246835,-0.010951340,-0.046155327,-2.644505
3.100066185,0.035755460,-0.011345386,-0.045766285,-2.622215
3.133402109,0.041465702,-0.011606851,-0.045474531,-2.605499
3.199998856,0.050095477,-0.012000069,-0.044744299,-2.563659
3.233617067,0.055400328,-0.012239641,-0.045163556,-2.587681
3.300299168,0.063690977,-0.012614049,-0.047161117,-2.702133
3.333406210,0.069557391,-0.012890681,-0.047897243,-2.744310
3.400112629,0.077868758,-0.013290351,-0.049197991,-2.818837
