metric,n,mean,std,median,minimum,maximum,cv_percent,ci95_lower,ci95_upper
motion_duration_s,10,96.425,2.0720695505272535,96.3,92.4,99.8,2.148892455822923,94.94283371766188,97.90716628233811
ccw_rotational_error_deg,10,1.9380000000000108,0.2534122684042314,1.960000000000008,1.4700000000000273,2.2900000000000205,13.075968441910733,1.7567323781366448,2.1192676218633766
cw_rotational_error_deg,10,3.3550000000000124,0.43087121045619553,3.469999999999999,2.3800000000000523,3.75,12.842659029990878,3.0467947179881794,3.6632052820118455
cumulative_rotational_discrepancy_deg,10,5.293000000000023,0.6722441686040893,5.425000000000011,3.8500000000000796,6.020000000000039,12.700626650370044,4.812138901515242,5.773861098484804
abs_heading_drift_deg,10,1.417,0.21868546667150363,1.4449999999999998,0.91,1.7,15.432989885074354,1.2605727096827413,1.5734272903172588
ekf_path_length_m,10,6.964733274615083,0.1073309512761518,6.957160336988693,6.842984322503594,7.217091552611205,1.5410633407505991,6.887958671662056,7.041507877568111
ekf_closure_error_m,10,0.06902054935419384,0.0072523747293962385,0.06630613830429441,0.06144320723769274,0.0858066291417831,10.507558686876154,0.06383287344434954,0.07420822526403814
ekf_cross_track_rmse_m,10,0.09480041021891387,0.013894411300265351,0.0925320335215872,0.07553651359704426,0.12133519798454304,14.65648858288721,0.08486163768256211,0.10473918275526564
ekf_maximum_cross_track_m,10,0.225222302795937,0.03041856573121848,0.22395625506928035,0.1849823802255579,0.2863296615274289,13.506018433165238,0.20346368351000355,0.24698092208187045
ekf_heading_error_std_deg,10,5.438095879859224,0.6271465060606267,5.387148557354348,4.764960613854455,6.951294415868917,11.532465037686345,4.989493464398463,5.886698295319985
ekf_heading_error_rmse_deg,10,5.458864181454848,0.6283136358024369,5.410427969162121,4.784452207842674,6.975544595961139,11.509970113141456,5.009426909678581,5.908301453231115
ekf_ccw_diameter_m,10,0.9881577865986948,0.015234560945164967,0.9905021499258103,0.9625943459870532,1.0110761971590028,1.5417133935262852,0.9772603953632496,0.99905517783414
ekf_cw_diameter_m,10,1.2368171485919621,0.030812161460291497,1.2325853904238433,1.1957167811730687,1.2966251632750874,2.4912463006653156,1.2147769874444845,1.2588573097394398
wheel_path_length_m,10,6.9677975358235456,0.10780498118162757,6.960752476355955,6.845393801187216,7.220351231619892,1.5471887727415974,6.8906838558629255,7.044911215784166
wheel_closure_error_m,10,2.0745836440700955,0.2595141539423105,2.145942453916547,1.6269916027297755,2.369186066661415,12.509216231608452,1.8889512995066995,2.2602159886334916
wheel_cross_track_rmse_m,10,1.1676564467480273,0.10733442453276039,1.1516139928648468,0.9885861320572035,1.3132358362358063,9.19229494528903,1.090879359349517,1.2444335341465376
wheel_maximum_cross_track_m,10,2.2623539026790116,0.0609682991239993,2.2734690279843615,2.1458233926915624,2.338093743539639,2.6949054722076187,2.2187428389335393,2.305964966424484
wheel_heading_error_std_deg,10,61.1501487792527,5.944003776774595,63.397909722367885,49.44125699466611,67.18427125677502,9.720342297501169,56.89836004089498,65.40193751761043
wheel_heading_error_rmse_deg,10,64.09702925546202,5.649292438882165,66.18281514348445,52.73880484301413,69.90163557024647,8.81365720767903,60.05604966100381,68.13800884992023
physical_ccw_diameter_m,10,1.0795000000000001,0.016741498671796938,1.08,1.06,1.11,1.550856755145617,1.0675246853486016,1.0914753146513987
physical_cw_diameter_m,10,1.128,0.032249030993194136,1.13,1.08,1.18,2.8589566483328137,1.1049320357205061,1.1510679642794936
physical_final_x_m,10,0.088,0.023944379994757296,0.0925,0.055,0.13,27.20952272131511,0.07087241242906636,0.10512758757093363
physical_final_y_m,10,0.0715,0.032407989412763294,0.07,0.02,0.115,45.325859318550066,0.04831833161741804,0.09468166838258195
physical_closure_error_m,10,0.11589007581988621,0.031393387953180814,0.11821117477868273,0.0632455532033676,0.17029386365926402,27.088935554733542,0.09343415917330247,0.13834599246646995
physical_minus_ekf_closure_m,10,0.04686952646569237,0.028194555232087984,0.05049887730665197,-0.003389508408926878,0.08448723451748093,60.155408765919326,0.026701757917630343,0.0670372950137544
