metric,n,mean,std,median,minimum,maximum,cv_percent,ci95_lower,ci95_upper
motion_duration_s,10,94.97272272109986,4.693002863207562,93.45935070514679,90.25006151199341,104.70436453819275,4.941421840657549,91.61578395184256,98.32966149035715
controller_closure_m,10,0.0095,0.001649915822768611,0.009,0.008,0.012,17.367534976511696,0.00831980332147561,0.010680196678524389
controller_yaw_error_deg,10,-0.52,0.5218769544208247,-0.41500000000000004,-1.62,0.08,100.36095277323552,-0.8933023465235652,-0.14669765347643482
ground_truth_path_length_m,10,4.0023562424057015,0.007034180301711351,4.003073928226254,3.9909424926589057,4.01513430374464,0.17575097956506008,3.9973246425424485,4.007387842268955
ground_truth_closure_error_m,10,0.03388157732517359,0.009005093607770697,0.02905026056749755,0.02329782309506171,0.05163049602904409,26.578141629433595,0.02744016897025617,0.04032298568009102
ground_truth_final_x_m,10,-0.03094194562985636,0.010388662064411181,-0.02712366303972052,-0.051629577654235544,-0.016316550644330012,33.574689157190555,-0.038373030472813145,-0.023510860786899575
ground_truth_final_y_m,10,-0.010160914981829848,0.008377467110536921,-0.007112405032933236,-0.028658638198730792,-0.00030794715520555765,82.44795990831378,-0.01615337758014119,-0.004168452383518507
ground_truth_yaw_error_deg,10,360.23251209415605,1.018220801449806,360.36787493394297,358.30618771311543,361.5160666969074,0.2826565529942139,359.5041714168365,360.9608527714756
ground_truth_abs_yaw_error_deg,10,360.23251209415605,1.018220801449806,360.36787493394297,358.30618771311543,361.5160666969074,0.2826565529942139,359.5041714168365,360.9608527714756
ground_truth_cumulative_rotation_deg,10,360.23251209415605,1.018220801449806,360.36787493394297,358.30618771311543,361.5160666969074,0.2826565529942139,359.5041714168365,360.9608527714756
ground_truth_cross_track_rmse_m,10,0.02925855233676992,0.002837391145527512,0.0286934893196873,0.024930713252514034,0.03375533731205236,9.697647077233192,0.027228946002061955,0.03128815867147789
ground_truth_maximum_cross_track_m,10,0.051355852185980475,0.0048986664616548084,0.05145528396349125,0.04532123469412663,0.061060412690050914,9.538672328744036,0.047851800762591816,0.05485990360936913
wheel_path_length_m,10,3.9768204206112676,0.009983744503324022,3.9766988846112676,3.9611164721390257,3.994105267139033,0.2510484117306319,3.969678976217888,3.9839618650046473
wheel_closure_error_m,10,0.009537160944322264,0.0016787595310468807,0.009261984643642841,0.0077911738024537495,0.012411770725300107,17.602298428719426,0.008336332153397609,0.010737989735246919
wheel_final_x_m,10,-0.00819853456903481,0.0020878179393770077,-0.008147032131531737,-0.012405996296788355,-0.004713253507842473,25.465745393847875,-0.009691965787411543,-0.006705103350658075
wheel_final_y_m,10,0.004231837884829953,0.002222696747534832,0.004665496971387919,0.0003785609878082948,0.007679862251466704,52.52320169216846,0.002641926882942762,0.005821748886717144
wheel_yaw_error_deg,10,359.4593058235788,0.5425043421986264,359.5842314254761,358.3194674007456,360.0770413860664,0.15092232511707052,359.07124855792176,359.84736308923584
wheel_abs_yaw_error_deg,10,359.4593058235788,0.5425043421986264,359.5842314254761,358.3194674007456,360.0770413860664,0.15092232511707052,359.07124855792176,359.84736308923584
wheel_cumulative_rotation_deg,10,359.4593058235788,0.5425043421986264,359.5842314254761,358.3194674007456,360.0770413860664,0.15092232511707052,359.07124855792176,359.84736308923584
wheel_cross_track_rmse_m,10,0.02151253030331959,0.0008875946437906606,0.021314488404302334,0.02062898240795511,0.02372965530358918,4.125942561269495,0.020877627457961106,0.022147433148678074
wheel_maximum_cross_track_m,10,0.04327581592691117,0.002824505259313314,0.044990982458540996,0.03933733736045952,0.04586330777842762,6.526752179747786,0.04125542695947732,0.045296204894345014
ekf_path_length_m,10,3.9876934327852505,0.010855999426584639,3.987632513372139,3.9702840282417653,4.0048492333558885,0.2722375631318815,3.9799280581591567,3.995458807411344
ekf_closure_error_m,10,0.009537756750557576,0.001678247312265334,0.0092620637045745,0.007791152990363921,0.012411771591355536,17.595828412873118,0.008337294353418782,0.01073821914769637
ekf_final_x_m,10,-0.008199269515165666,0.0020875647812325718,-0.00814714609082103,-0.01240600461218623,-0.004713366747617061,25.46037518795225,-0.009692519647697243,-0.006706019382634089
ekf_final_y_m,10,0.0042316825299553934,0.0022227047609479993,0.0046653446368736615,0.000378316796341764,0.007679691163195222,52.52531930771823,0.0026417657960160134,0.0058215992638947734
ekf_yaw_error_deg,10,359.46990718605196,0.5369224448931451,359.5847976817658,358.342133030949,360.0837028965318,0.14936506065172472,359.08584269176475,359.85397168033916
ekf_abs_yaw_error_deg,10,359.46990718605196,0.5369224448931451,359.5847976817658,358.342133030949,360.0837028965318,0.14936506065172472,359.08584269176475,359.85397168033916
ekf_cumulative_rotation_deg,10,359.46990718605196,0.5369224448931451,359.5847976817658,358.342133030949,360.0837028965318,0.14936506065172472,359.08584269176475,359.85397168033916
ekf_cross_track_rmse_m,10,0.021498319413306217,0.0008889739246513703,0.021352947825964093,0.020552950400668957,0.023720561261310096,4.135085666748196,0.020862429958407962,0.022134208868204473
ekf_maximum_cross_track_m,10,0.04325295335646031,0.0028270397164721437,0.04497919787436255,0.039322647270970346,0.04585100391034147,6.536061695426156,0.0412307514735556,0.04527515523936502
wheel_position_rmse_m,10,0.016804072356865818,0.005414043494673817,0.01808213610848021,0.0068571633159433786,0.024367512575751458,32.218639504142246,0.01293136802757549,0.020676776686156147
wheel_maximum_position_error_m,10,0.029573976043802803,0.009228133781188565,0.03002611441085799,0.016677954820732595,0.04547888492905258,31.203561426845447,0.02297302544544925,0.03617492664215635
wheel_yaw_rmse_deg,10,0.9293868725469352,0.2350499622645668,0.8656591415104586,0.5877924792421054,1.297325023437708,25.290863170944615,0.7612539405974554,1.097519804496415
wheel_maximum_yaw_error_deg,10,1.9915632367480858,0.5358099793385904,1.8632953691280196,1.4330637435906697,2.983617964732354,26.903990265128872,1.6082944970892927,2.374831976406879
ekf_position_rmse_m,10,0.016951616093941784,0.005430802154708551,0.018243602051694008,0.006837442528486308,0.02455162569840313,32.0370761384186,0.013066924174353471,0.0208363080135301
ekf_maximum_position_error_m,10,0.029792449850175012,0.009230560076784376,0.030639511746789215,0.01676569239493446,0.04569261024585027,30.982883660808287,0.02318976370509612,0.0363951359952539
ekf_yaw_rmse_deg,10,0.9665774120220038,0.24436032758934612,0.9191827652113893,0.6005151293375273,1.3477101695609883,25.28098883235473,0.7917847086584195,1.141370115385588
ekf_maximum_yaw_error_deg,10,2.3111990138443637,0.58918710720038,2.198165020919207,1.6237084548461953,3.3271104649905747,25.49270329690682,1.8897492299514793,2.732648797737248
ekf_closure_difference_m,10,-0.024343820574616017,0.00952244707128731,-0.020885318908876793,-0.043681650328577376,-0.013550072821674366,39.11648560709748,-0.031155295590413645,-0.01753234555881839
ekf_path_length_ratio,10,0.996335824548954,0.0017014901296449174,0.9963571422752711,0.993876198736283,0.9986995116198917,0.17077476165380182,0.9951187363970388,0.9975529127008691
ekf_rotation_ratio,10,0.9978877875448419,0.002197210233050427,0.9990068099239245,0.9939605160969632,1.0001003201146568,0.22018610313453618,0.9963161072304398,0.9994594678592439
