time_s,x_m,y_m,yaw_rad,yaw_deg
0.000000000,0.000000000,0.000000000,0.000000000,0.000000
0.033345222,0.000000000,0.000000000,0.000063082,0.003614
0.100049257,0.000000000,0.000000000,0.000061759,0.003539
0.133406639,0.000000000,0.000000000,0.000066589,0.003815
0.200082302,0.000000000,0.000000000,0.000060022,0.003439
0.233386993,0.000000000,0.000000000,0.000024964,0.001430
0.299998283,0.000000000,0.000000000,0.000029154,0.001670
0.333414793,0.000000000,0.000000000,0.000014475,0.000829
0.400020838,0.000000000,0.000000000,0.000003331,0.000191
0.433280230,0.000000000,0.000000000,0.000018882,0.001082
0.500104666,0.000000000,0.000000000,0.000031841,0.001824
0.533304930,0.000000000,0.000000000,0.000064203,0.003679
0.600116491,0.000000000,0.000000000,0.000083937,0.004809
0.633356094,0.000000000,0.000000000,0.000070764,0.004054
0.700018883,0.000000000,0.000000000,0.000074683,0.004279
0.733397007,0.000000000,0.000000000,0.000044789,0.002566
0.800019979,0.000000000,0.000000000,0.000046075,0.002640
0.833349705,0.000000000,0.000000000,0.000048394,0.002773
0.900008202,0.000000000,0.000000000,0.000030178,0.001729
0.933273792,0.000000000,0.000000000,0.000023809,0.001364
0.999996424,0.000000000,0.000000000,0.000037622,0.002156
1.033382416,0.000000000,0.000000000,0.000042680,0.002445
1.099996567,0.001230935,0.000000061,0.001947500,0.111584
1.133276224,0.003555331,0.000002063,0.007419931,0.425131
1.200030327,0.005558666,0.000011433,0.008067765,0.462249
1.233258963,0.009129007,0.000033009,0.010185175,0.583568
1.300055504,0.012490077,0.000059996,0.009857386,0.564787
1.333292484,0.017904542,0.000107279,0.010868721,0.622732
1.399995089,0.022537828,0.000150758,0.011136822,0.638093
1.433315039,0.029667584,0.000225308,0.009172913,0.525569
1.500070572,0.034925157,0.000273384,0.008160262,0.467549
1.533374310,0.042355932,0.000334297,0.007906921,0.453033
1.600137472,0.047713082,0.000376433,0.007939060,0.454875
1.633375406,0.055660732,0.000441137,0.008492121,0.486563
1.700057745,0.061408940,0.000488110,0.009741190,0.558129
1.733355522,0.069689669,0.000569053,0.009829885,0.563211
1.800066948,0.075052590,0.000621697,0.009608376,0.550519
1.833346367,0.083484491,0.000702480,0.008599937,0.492740
1.900200844,0.088809725,0.000748953,0.007845370,0.449507
1.933611870,0.097473838,0.000816679,0.007301958,0.418371
2.000007629,0.102782390,0.000855098,0.006733656,0.385810
2.033294201,0.111174609,0.000911145,0.005709012,0.327102
2.100044012,0.116507887,0.000940524,0.004661374,0.267077
2.133372068,0.124890762,0.000979526,0.002689734,0.154110
2.200260162,0.130484581,0.000995121,0.002298180,0.131676
2.233458996,0.032668072,-0.001164444,0.012234911,0.701009
2.300050735,-0.075288731,-0.003356331,0.022110483,1.266837
2.333267927,-0.067173309,-0.003177932,0.021352524,1.223410
2.400014639,-0.061830760,-0.003064617,0.021172070,1.213070
2.433261156,-0.053708815,-0.002893379,0.020765285,1.189763
2.500018597,-0.048281156,-0.002781585,0.020269877,1.161378
2.533325911,-0.039790036,-0.002609297,0.019083696,1.093415
2.600358009,-0.034314054,-0.002505058,0.018683274,1.070473
2.633358240,-0.026085029,-0.002353429,0.017604245,1.008649
2.700017929,-0.020603482,-0.002256265,0.016265503,0.931945
2.733303547,-0.012383367,-0.002124576,0.014873109,0.852166
2.800069571,-0.007168437,-0.002047900,0.013399770,0.767750
2.833487749,0.001296688,-0.001933151,0.012131982,0.695111
2.900128603,0.007052994,-0.001863719,0.012208049,0.699470
2.933297396,0.015596583,-0.001760373,0.011003037,0.630428
3.000202179,0.021075632,-0.001699990,0.010341384,0.592518
3.033338070,0.029912905,-0.001609117,0.009877427,0.565935
3.100132704,0.035661776,-0.001551720,0.009293902,0.532501
3.133421898,0.044264376,-0.001473117,0.008980313,0.514534
3.200022936,0.049612170,-0.001426440,0.008371408,0.479646
3.233357430,0.058309585,-0.001353648,0.007248545,0.415311
3.300197363,0.064070004,-0.001312085,0.006615858,0.379061
3.333420753,0.073235270,-0.001249741,0.005832362,0.334170
3.400136232,0.078576780,-0.001220023,0.006402013,0.366808
3.433444977,-0.038845175,-0.004297333,0.001905836,0.109196
3.500326395,-0.167105589,-0.007622064,-0.003804576,-0.217986
3.533326387,-0.158686395,-0.007654579,-0.003127437,-0.179189
3.600158453,-0.153322325,-0.007672373,-0.002940666,-0.168488
3.633279324,-0.144516029,-0.007698021,-0.003437547,-0.196957
3.700283527,-0.138888885,-0.007717650,-0.003729883,-0.213707
3.733572721,-0.129742119,-0.007751180,-0.004321551,-0.247607
3.800147057,-0.124256991,-0.007774922,-0.004285065,-0.245516
3.833238840,-0.115947807,-0.007811810,-0.003802871,-0.217888
3.900019646,-0.110451386,-0.007833567,-0.004201183,-0.240710
3.933489561,-0.102202171,-0.007868256,-0.005386820,-0.308642
4.000201464,-0.096427314,-0.007897886,-0.005247082,-0.300636
4.033318996,-0.087885747,-0.007942082,-0.003507657,-0.200974
4.100034237,-0.082383693,-0.007963277,-0.002473325,-0.141711
4.133466721,-0.074145594,-0.007984524,-0.003455154,-0.197966
4.200296640,-0.068504806,-0.008001778,-0.004042381,-0.231611
4.233513117,-0.059988939,-0.008036551,-0.002637329,-0.151108
4.300056696,-0.054753447,-0.008050155,-0.001891401,-0.108369
4.333435059,-0.046124405,-0.008066900,-0.000757316,-0.043391
4.400128841,-0.040211034,-0.008073008,-0.000945186,-0.054155
4.433412313,-0.031351952,-0.008080577,-0.002253311,-0.129105
4.500124454,-0.025855662,-0.008092169,-0.001900263,-0.108877
4.533337355,-0.016994721,-0.008109913,-0.000714348,-0.040929
4.600031376,-0.011226949,-0.008114413,-0.000947012,-0.054260
4.633347511,-0.002621137,-0.008122927,-0.001879731,-0.107701
4.700285435,0.002739711,-0.008132823,-0.002632817,-0.150849
4.733386755,-0.114147261,-0.006659120,-0.019762809,-1.132326
4.800054073,-0.242967646,-0.005272759,-0.037176127,-2.130035
4.833285809,-0.234547805,-0.005586763,-0.036724867,-2.104180
4.900152206,-0.228907016,-0.005793769,-0.036916354,-2.115151
4.933376074,-0.220508983,-0.006103264,-0.036601473,-2.097110
5.000089407,-0.215011758,-0.006305181,-0.035998538,-2.062564
5.033357143,-0.206060280,-0.006628217,-0.036003874,-2.062870
5.100079060,-0.200428056,-0.006830685,-0.036333790,-2.081773
5.133405685,-0.192004024,-0.007136136,-0.036040462,-2.064966
5.200014830,-0.186230377,-0.007344674,-0.035271945,-2.020934
5.233361006,-0.177669511,-0.007648138,-0.035142178,-2.013498
5.300058126,-0.172439981,-0.007831564,-0.036265512,-2.077861
5.333406448,-0.163637865,-0.008150911,-0.037784677,-2.164903
5.400110483,-0.158138955,-0.008358095,-0.038478927,-2.204680
5.433350325,-0.149467851,-0.008691208,-0.038284111,-2.193518
5.500004053,-0.143970649,-0.008903586,-0.038354437,-2.197547
5.533305168,-0.135297054,-0.009237211,-0.040679190,-2.330746
5.600049496,-0.129931518,-0.009454990,-0.042338508,-2.425818
5.633472681,-0.121274783,-0.009820151,-0.042875420,-2.456581
5.700289965,-0.116181786,-0.010040210,-0.042069248,-2.410390
5.733289957,-0.107708116,-0.010397807,-0.041405764,-2.372376
5.800074577,-0.102474359,-0.010614867,-0.041909719,-2.401250
5.833362818,-0.094311463,-0.010956517,-0.042312514,-2.424328
5.900049210,-0.088656319,-0.011195717,-0.041833712,-2.396895
5.933328390,-0.080327780,-0.011545009,-0.041538593,-2.379986
6.000044107,-0.074953418,-0.011768737,-0.042079880,-2.411000
6.033504009,-0.192760120,-0.005626192,-0.053568347,-3.069240
6.100123644,-0.321134740,0.000907029,-0.064960204,-3.721946
6.133624077,-0.312494244,0.000345602,-0.064376038,-3.688475
6.199979782,-0.306716968,-0.000027216,-0.063827637,-3.657054
6.233363390,-0.298183651,-0.000573854,-0.064149729,-3.675509
6.300165892,-0.292184369,-0.000958863,-0.065348559,-3.744197
6.333459616,-0.283571999,-0.001522089,-0.066755572,-3.824813
6.400101185,-0.278104749,-0.001887655,-0.066883446,-3.832139
6.433380365,-0.269397920,-0.002470786,-0.066369062,-3.802667
6.500072002,-0.263944887,-0.002833899,-0.066390190,-3.803878
6.533378601,-0.255522333,-0.003393087,-0.066334200,-3.800670
6.600057602,-0.249935036,-0.003764657,-0.065627417,-3.760174
6.633327723,-0.241525448,-0.004317099,-0.064819948,-3.713909
6.700066566,-0.236063476,-0.004671971,-0.064211793,-3.679065
6.733370066,-0.227822317,-0.005201792,-0.063710801,-3.650360
6.800128937,-0.221945148,-0.005575862,-0.062836296,-3.600255
6.833477259,-0.213530985,-0.006106084,-0.060701205,-3.477923
6.900133848,-0.207799706,-0.006455988,-0.060724130,-3.479236
6.933487415,-0.199080279,-0.006985647,-0.061924390,-3.548006
7.000118256,-0.193901439,-0.007306762,-0.062058660,-3.555699
7.033451319,-0.185363853,-0.007837263,-0.062380585,-3.574144
7.100122213,-0.179642307,-0.008195221,-0.062873661,-3.602395
7.133424997,-0.171217117,-0.008725642,-0.064274050,-3.682632
7.200021267,-0.165488212,-0.009093864,-0.064987569,-3.723513
7.233304262,-0.157051753,-0.009642823,-0.065539317,-3.755126
7.300062656,-0.151472388,-0.010008741,-0.065516908,-3.753842
7.333374023,-0.269103049,0.000849390,-0.069987389,-4.009982
7.400249243,-0.398118750,0.012616584,-0.075191669,-4.308165
7.433442831,-0.389859516,0.011995305,-0.075488085,-4.325149
7.500163317,-0.384131335,0.011562687,-0.074520210,-4.269694
7.533381224,-0.375586361,0.010924451,-0.072600684,-4.159713
7.600084066,-0.370275889,0.010538490,-0.071696548,-4.107910
7.633466244,-0.362035054,0.009945598,-0.071210914,-4.080085
7.700190783,-0.356307203,0.009536964,-0.071897031,-4.119396
7.733237505,-0.347763310,0.008922420,-0.072210362,-4.137349
7.800156593,-0.342173073,0.008517329,-0.071929972,-4.121284
7.833433867,-0.333771233,0.007910899,-0.072800855,-4.171182
7.899909496,-0.328206735,0.007505085,-0.074344346,-4.259617
7.933451653,-0.319782770,0.006878172,-0.076410664,-4.378009
8.000153780,-0.314060231,0.006441250,-0.076861271,-4.403826
8.033379555,-0.305935362,0.005815184,-0.076368982,-4.375620
8.100108147,-0.300745469,0.005417377,-0.075734643,-4.339275
8.133376122,-0.292546923,0.004795114,-0.075081591,-4.301858
8.200129509,-0.287456215,0.004412774,-0.074529133,-4.270205
8.233373880,-0.279359464,0.003807867,-0.073156748,-4.191573
8.300065517,-0.274931079,0.003485057,-0.072267000,-4.140594
8.333359003,-0.268678924,0.003034631,-0.070051879,-4.013677
8.400219917,-0.265304692,0.002800329,-0.069011407,-3.954062
8.433462381,-0.260410099,0.002467137,-0.067944018,-3.892905
8.500334024,-0.258361408,0.002332457,-0.066036987,-3.783641
8.533588886,-0.256358340,0.002209681,-0.063028858,-3.611288
8.600377560,-0.255588007,0.002168177,-0.061188656,-3.505852
8.633437395,-0.254775290,0.002126746,-0.059497730,-3.408969
8.700132370,-0.254769738,0.002131938,-0.059518986,-3.410187
8.733445644,-0.254408317,0.002112680,-0.059441881,-3.405769
8.800074100,-0.254369814,0.002111278,-0.059516986,-3.410072
8.833352327,-0.254235017,0.002103315,-0.059574752,-3.413382
8.900119305,-0.254179683,0.002099837,-0.059621904,-3.416083
8.933368444,-0.254153662,0.002097896,-0.059681755,-3.419513
9.000053644,-0.254092804,0.002093902,-0.059696571,-3.420362
9.033369541,-0.254118259,0.002094990,-0.059726039,-3.422050
9.100057602,-0.254056726,0.002090951,-0.059724687,-3.421972
9.133309126,-0.254105198,0.002093445,-0.059707090,-3.420964
9.200119495,-0.254045313,0.002089529,-0.059696601,-3.420363
9.233439922,-0.254099899,0.002092422,-0.059708297,-3.421033
9.300091028,-0.254046284,0.002088914,-0.059725140,-3.421998
9.333462954,-0.254106302,0.002092181,-0.059736684,-3.422660
9.400138855,-0.254051761,0.002088658,-0.059743521,-3.423052
9.433453321,-0.254111158,0.002091928,-0.059729741,-3.422262
9.500105619,-0.254059958,0.002088632,-0.059716276,-3.421491
9.533373594,-0.253684342,0.002065438,-0.058085705,-3.328066
9.600040674,-0.253096948,0.002029527,-0.048264699,-2.765364
9.633373260,-0.252754448,0.002010065,-0.018351335,-1.051454
9.700151205,-0.252040190,0.001976238,0.004818540,0.276082
9.733250380,-0.251491846,0.001967020,0.040574635,2.324755
9.800040722,-0.251060164,0.001969692,0.062711828,3.593123
9.833281279,-0.250643965,0.001988089,0.097712963,5.598540
9.900107384,-0.250216566,0.002009900,0.121160789,6.942002
9.933348179,-0.249524233,0.002064255,0.158316631,9.070875
9.999967098,-0.248830875,0.002135745,0.182269367,10.443265
10.033226728,-0.247943534,0.002266434,0.219607530,12.582585
10.099916220,-0.247671700,0.002336636,0.244402567,14.003236
10.133308887,-0.247086659,0.002470058,0.282180704,16.167763
10.199982643,-0.246547090,0.002598687,0.307551811,17.621421
10.233277082,-0.245686310,0.002832672,0.347155731,19.890558
10.299982309,-0.245560404,0.002905965,0.373241145,21.385142
10.333265543,-0.245012585,0.003102220,0.413925979,23.716212
10.399988890,-0.244494631,0.003294683,0.440590040,25.243950
10.433230639,-0.244354382,0.003396081,0.481262044,27.574284
10.499977350,-0.244095910,0.003515586,0.507708259,29.089540
10.533265352,-0.243354968,0.003855877,0.548041069,31.400440
10.600082397,-0.242993870,0.004057772,0.574475799,32.915039
10.633261919,-0.242751364,0.004233090,0.616121079,35.301137
10.699996710,-0.242754318,0.004260092,0.642788428,36.829064
10.733332872,-0.242207113,0.004598396,0.683583698,39.166461
10.800034285,-0.241984456,0.004767440,0.710265411,40.695210
10.833309650,-0.241794189,0.004936905,0.751464301,43.055733
10.900179148,-0.241576772,0.005114272,0.777644327,44.555738
10.933298826,-0.241185108,0.005449293,0.818230887,46.881176
11.000260830,-0.240675818,0.005897956,0.844005934,48.357978
11.033415556,-0.240168567,0.006421337,0.883157748,50.601212
11.100028038,-0.239905687,0.006730729,0.908750977,52.067596
11.133304834,-0.239728911,0.006999769,0.948067386,54.320260
11.200126648,-0.239474070,0.007317806,0.973270728,55.764305
11.233501434,-0.239232883,0.007669492,1.012474412,58.010511
11.300309181,-0.239169355,0.007797614,1.037728434,59.457460
11.333448648,-0.239134276,0.007901131,1.076170621,61.660035
11.400054216,-0.238903425,0.008239303,1.101791549,63.128006
11.433406591,-0.238719521,0.008567368,1.141733183,65.416493
11.500313282,-0.238593040,0.008810190,1.166899115,66.858394
11.533385277,-0.364333588,0.025747290,1.227344662,70.321669
11.600129366,-0.499129024,0.043452224,1.276297561,73.126464
11.633486271,-0.499005624,0.043845921,1.314603639,75.321240
11.700331450,-0.498982798,0.043985545,1.339347508,76.738960
11.733469963,-0.498882818,0.044353607,1.377196359,78.907539
11.800204515,-0.498905853,0.044367975,1.401688926,80.310860
11.833650827,-0.498866119,0.044572286,1.439290463,82.465269
11.900354624,-0.498771357,0.044965265,1.463501284,83.852447
11.933468342,-0.498782247,0.045063008,1.502230465,86.071465
12.000039339,-0.498712040,0.045460587,1.526112773,87.439821
12.033769608,-0.498633044,0.046105653,1.552542412,88.954128
12.100180626,-0.498667197,0.046113945,1.557575249,89.242488
12.133468390,-0.498684416,0.046210348,1.560018696,89.382487
12.200099945,-0.498693269,0.046218747,1.560270814,89.396933
12.233256340,-0.498696213,0.046257064,1.560220897,89.394072
12.300001144,-0.498696780,0.046265525,1.560135407,89.389174
12.333374977,-0.498695243,0.046276053,1.560051623,89.384374
12.400047779,-0.498693268,0.046284617,1.560032721,89.383291
12.433409214,-0.498690474,0.046282092,1.560007096,89.381823
12.499984264,-0.498687807,0.046290559,1.559966661,89.379506
12.533494234,-0.498684797,0.046282208,1.559925173,89.377129
12.599984646,-0.498682070,0.046290444,1.559910788,89.376305
12.633273602,-0.498679195,0.046279589,1.559936573,89.377782
12.700056076,-0.498676623,0.046287555,1.559955476,89.378865
12.733296871,-0.498673995,0.046276054,1.559938454,89.377890
12.800768375,-0.498671650,0.046283612,1.559944814,89.378254
12.833484650,-0.498669297,0.046272146,1.559934642,89.377671
12.900127649,-0.498667193,0.046279409,1.559930231,89.377419
12.933227777,-0.498665108,0.046268359,1.559945409,89.378288
13.000011921,-0.498663234,0.046275286,1.559945272,89.378280
13.033347130,-0.498661394,0.046264890,1.559943834,89.378198
13.100077868,-0.498659732,0.046271400,1.559952077,89.378670
13.133302927,-0.498658112,0.046261611,1.559958028,89.379011
13.200027227,-0.498656639,0.046267783,1.559989360,89.380806
13.233290672,-0.498655215,0.046258673,1.560035855,89.383470
13.300016642,-0.498610969,0.047337631,1.563011152,89.553942
13.333332777,-0.498532676,0.049744916,1.572529990,90.099332
13.400427580,-0.498491606,0.051867524,1.574486521,90.211433
13.433346272,-0.498459486,0.055137470,1.577453800,90.381445
13.500247955,-0.498423446,0.058575498,1.579141527,90.478145
13.533466816,-0.498413901,0.063725608,1.580543502,90.558472
13.600301266,-0.498397968,0.068588884,1.580120206,90.534219
13.633437157,-0.498415259,0.075835856,1.579695227,90.509869
13.700029135,-0.498433535,0.081079368,1.580242851,90.541246
13.733357430,-0.498489261,0.088809369,1.580001156,90.527398
13.800291061,-0.498525881,0.094294246,1.578574616,90.445663
13.833508492,-0.498591513,0.102134586,1.577075265,90.359757
13.899985790,-0.498623621,0.107479158,1.577474443,90.382628
13.933230162,-0.498679836,0.115712564,1.577775917,90.399901
13.999984741,-0.498719955,0.121049085,1.577120053,90.362323
14.033553839,-0.498774000,0.129641576,1.575810153,90.287271
14.099959850,-0.498807983,0.134976608,1.575474984,90.268067
14.133336306,-0.498850894,0.143482302,1.575685227,90.280113
14.200325012,-0.498878932,0.149089086,1.573954835,90.180969
14.233389139,-0.498909404,0.157930249,1.570209349,89.966369
14.300190687,-0.518459232,-0.026008104,1.540481500,88.263088
14.333400488,-0.522519708,-0.058677719,1.533913848,87.886790
14.400121927,-0.522347631,-0.053734798,1.534313141,87.909667
14.433481216,-0.522067063,-0.045821764,1.533620466,87.869980
14.500033379,-0.521864931,-0.040349975,1.532118294,87.783912
14.533468246,-0.521532033,-0.031728849,1.531243148,87.733770
14.600421429,-0.521309709,-0.026116679,1.530931023,87.715886
14.633288860,-0.520986552,-0.017862921,1.529335877,87.624491
14.699887037,-0.520789277,-0.012931536,1.528451678,87.573830
14.733317614,-0.520431311,-0.004482136,1.527637129,87.527160
14.800059319,-0.520210288,0.000722892,1.527021754,87.491902
14.833362818,-0.519823919,0.009478321,1.526302952,87.450717
14.900087118,-0.519577327,0.015046308,1.524708219,87.359346
14.933329582,-0.519182041,0.023623366,1.521825621,87.194185
15.000092506,-0.518899977,0.029372817,1.519493937,87.060590
15.033441544,-0.518462105,0.037944563,1.515949883,86.857530
15.100214243,-0.518162515,0.043421705,1.514333944,86.764944
15.133455038,-0.517716048,0.051395103,1.512998555,86.688432
15.200120926,-0.517388498,0.057017432,1.512661229,86.669104
15.233382225,-0.516903941,0.065381822,1.510408359,86.540024
15.300129414,-0.516555307,0.071136999,1.509828028,86.506774
15.333504438,-0.516055288,0.079374944,1.509178040,86.469532
15.400167465,-0.515720356,0.084816593,1.509811214,86.505810
15.433388472,-0.515197875,0.093355034,1.510344065,86.536341
15.500127316,-0.514875377,0.098709403,1.509927626,86.512480
15.533409119,-0.514367915,0.107058110,1.509505059,86.488269
15.600338936,-0.541588049,-0.101664861,1.498102314,85.834940
15.634304523,-0.546939857,-0.139560331,1.496201217,85.726015
15.700196743,-0.546553478,-0.134360092,1.496212685,85.726672
15.733484268,-0.545898361,-0.125593453,1.496612831,85.749599
15.800273418,-0.545492903,-0.120116317,1.497926082,85.824843
15.833354950,-0.544925528,-0.112309713,1.499508620,85.915515
