metric,n,mean,sample_std,median,minimum,maximum
bag_duration_s,10,58.2477045268,3.914285623770048,57.57402123599999,50.439926349,64.033443434
movement_duration_s,10,22.4054151488,0.863534748123301,22.1508178495,21.350731237,24.150886943
ekf_path_length_m,10,1.9561647278158882,0.051804935340231784,1.9505435257056845,1.8848386948848743,2.058562108141108
ekf_start_to_end_displacement_m,10,1.7696222661044758,0.023466182135094403,1.7664119316721973,1.7349949888824157,1.8135465814249458
mean_abs_cmd_linear_mps,10,0.08482070834013172,0.0035466074688291637,0.08658990759798652,0.07678338408003482,0.08789596943177619
max_abs_cmd_linear_mps,10,0.10000000000000005,0.0,0.10000000000000003,0.10000000000000003,0.10000000000000003
mean_abs_cmd_angular_radps,10,0.17408988989420565,0.0395526566299865,0.16008371780655553,0.13632060700951465,0.2388397129186603
max_abs_cmd_angular_radps,10,0.35000000000000003,0.0,0.35000000000000003,0.35000000000000003,0.35000000000000003
minimum_observed_lidar_range_m,10,0.28152500092983246,0.015662876501894053,0.2822500020265579,0.2619999945163727,0.3032500147819519
minimum_front_sector_range_m,10,0.3898250013589859,0.047494600738670484,0.3930000066757202,0.2759999930858612,0.46299999952316284
scans_at_or_below_proximity_threshold,10,0.0,0.0,0.0,0.0,0.0
scan_message_count,10,413.9,26.307793522072505,412.5,356.0,448.0
amcl_message_count,10,15.2,3.0840089349921005,14.0,12.0,22.0
final_amcl_x_map_m,10,1.0857707489074522,0.017756814781312226,1.0910588009864646,1.0562882820418005,1.112088197043403
final_amcl_y_map_m,10,-0.11554996506002535,0.1595233129427605,-0.200597106608227,-0.23778787246438324,0.14603596207630828
final_amcl_yaw_rad,10,0.0645035427757735,0.13925091831319847,0.12726893355698216,-0.16265786058258555,0.20231625908476036
final_position_error_to_goal_m,10,0.21106139158406725,0.011284344401747163,0.2103562424531658,0.1957315342940937,0.22813943951011648
final_abs_yaw_error_rad,10,0.13653839479805768,0.05744282377148746,0.14442748593497132,0.02692491666732142,0.20231625908476036
final_amcl_age_at_bag_end_s,10,17.8193066354,3.007102590062977,18.5530937995,11.949778109,20.822427771
inferred_goal_success_rate,10,1.0,,,10,10
