run,timestamp_ns,x_m,y_m,yaw_rad,linear_x_mps,angular_z_radps,time_from_bag_start_s,x_relative_m,y_relative_m
R06,1784955862464930563,38.33233955007726,23.22872237582179,0.5001894369090242,-4.2368635130054385e-48,0.0013251306243771003,0.725486355,0.0,0.0
R06,1784955862498276866,38.33233955007726,23.22872237582179,0.5002445930682033,-3.87488837361625e-48,0.0015274862053903247,0.758832658,0.0,0.0
R06,1784955862564813721,38.33233955007726,23.22872237582179,0.5003158272859625,-3.974529895000634e-48,8.419923702870208e-05,0.825369513,0.0,0.0
R06,1784955862598167928,38.33233955007726,23.22872237582179,0.5003364168446636,-3.6365751072613803e-48,0.0011971019793431778,0.85872372,0.0,0.0
R06,1784955862664889302,38.33233955007726,23.22872237582179,0.5004044191711197,-3.7305106019972325e-48,0.0008840664467357083,0.925445094,0.0,0.0
R06,1784955862698169138,38.33233955007726,23.22872237582179,0.5004291651880415,-3.4140839616317657e-48,0.00023590789437109838,0.95872493,0.0,0.0
R06,1784955862764921297,38.33233955007726,23.22872237582179,0.5004524391419388,-3.500617035334192e-48,0.0008404202410715275,1.025477089,0.0,0.0
R06,1784955862798192557,38.33233955007726,23.22872237582179,0.500472497670835,-3.203051558373373e-48,4.363922092761262e-06,1.058748349,0.0,0.0
R06,1784955862864942699,38.33233955007726,23.22872237582179,0.5004656853173683,-3.286118988388876e-48,-0.00047251280041930513,1.125498491,0.0,0.0
R06,1784955862898134597,38.33233955007726,23.22872237582179,0.5004639138444218,-3.005935531625213e-48,0.0006085015995511711,1.158690389,0.0,0.0
R06,1784955862965010408,38.33233955007726,23.22872237582179,0.5004995535314332,-3.083018532041074e-48,0.0005235495221980833,1.2255662,0.0,0.0
R06,1784955862998250370,38.33233955007726,23.22872237582179,0.5005164913472973,-2.8217062141945863e-48,0.00028680388464762433,1.258806162,0.0,0.0
R06,1784955863064945087,38.33233955007726,23.22872237582179,0.5005422661088249,-2.893835450718924e-48,0.0008511676594339532,1.325500879,0.0,0.0
R06,1784955863098247740,38.33233955007726,23.22872237582179,0.5005592761090325,-2.6486890319576606e-48,-0.0002133833273580487,1.358803532,0.0,0.0
R06,1784955863164876247,38.33233955007726,23.22872237582179,0.500558235879129,-2.7158873270014345e-48,0.0005881720591251636,1.425432039,0.0,0.0
R06,1784955863198232918,38.33233955007726,23.22872237582179,0.500586082955047,-2.485119482809982e-48,0.0008911251600602973,1.45878871,0.0,0.0
R06,1784955863264952115,38.33233955007726,23.22872237582179,0.5006390343691778,-2.548155837218345e-48,0.0008199092605730542,1.525507907,0.0,0.0
R06,1784955863298281137,38.33233955007726,23.22872237582179,0.5006710698850871,-2.3318354672805424e-48,0.0008060260107237332,1.558836929,0.0,0.0
R06,1784955863364857034,38.33233955007726,23.22872237582179,0.5007112118321961,-2.3993224977572017e-48,0.00016832273062471984,1.625412826,0.0,0.0
R06,1784955863398183176,38.33233955007726,23.22872237582179,0.5007089607063748,-2.1835746097839525e-48,-0.00039236931521548885,1.658738968,0.0,0.0
R06,1784955863464906950,38.33233955007726,23.22872237582179,0.5007014470309281,-2.2423559397696768e-48,0.0007085013259224465,1.725462742,0.0,0.0
R06,1784955863498206979,38.33233955007726,23.22872237582179,0.5007089571370207,-2.055860119662539e-48,-0.0006201879711350563,1.758762771,0.0,0.0
R06,1784955863564868606,38.33233955007726,23.22872237582179,0.5006694503006002,-2.1046292881499242e-48,-0.0007613711622673786,1.825424398,0.0,0.0
R06,1784955863598799120,38.33233955007726,23.22872237582179,0.5006482031892019,-1.9264451774720234e-48,-0.00020203147181555947,1.859354912,0.0,0.0
R06,1784955863664887865,38.33233955007726,23.22872237582179,0.5006347929607275,-1.977078041667519e-48,-0.00027868340087817994,1.925443657,0.0,0.0
