run,timestamp_ns,x_map_m,y_map_m,yaw_map_rad,time_from_bag_start_s
R06,1784955861739444208,-0.6920822879103719,-0.03682581443555094,0.0014692736781499688,0.0
R06,1784955887317098628,-0.4053970957544271,-0.057664917735285225,-0.08190380121049791,25.57765442
R06,1784955888233448339,-0.3185543813138537,-0.05609781121709501,0.10957282262614562,26.494004131
R06,1784955889151832004,-0.24613592949334653,-0.04160186871183782,0.3355503488371277,27.412387796
R06,1784955891249426653,-0.08149775887155541,0.030702735364740757,0.5364466947506232,29.509982445
R06,1784955894392762143,0.13507186916297106,0.19011730435164967,0.7003320680578089,32.653317935
R06,1784955897144744587,0.3436317955338001,0.34640432264929905,0.47260709902783893,35.405300379
R06,1784955898326154395,0.43267393315132163,0.38077934492169474,0.2455337898659024,36.586710187
R06,1784955899634238763,0.5381725343744496,0.3914263614636247,0.0354715281221756,37.894794555
R06,1784955900416114459,0.6278532898127247,0.3910281837383079,-0.15737785457551598,38.676670251
R06,1784955901465826501,0.722094495219007,0.3771985935651187,-0.36956467990115616,39.726382293
R06,1784955903168862080,0.8679800744403242,0.2966558260695642,-0.6309830557277863,41.429417872
R06,1784955904741613893,0.9762627567556595,0.19497983928646664,-0.8380847581524775,43.002169685
R06,1784955906445051213,1.0469684994980055,0.1102850572150351,-0.5814700109303077,44.705607005
R06,1784955906840407589,1.0477496378312234,0.09857951580997244,-0.28353497508917075,45.100963381
R06,1784955907362024784,1.0562882820418005,0.09911651373789383,-0.05540770532197686,45.622580576
R07,1784956039488042885,-0.6931116202351173,-0.034783439517826,-3.7344254046823394e-05,1.922975042
R07,1784956058024618276,-0.3879153527325495,-0.02020255889038962,0.10128363609646046,20.459550433
R07,1784956061689829752,-0.08390402329943816,0.05051040292189524,0.3090261443710889,24.124761909
R07,1784956063134873053,0.03612980946092412,0.10059587968748243,0.5224590093336979,25.56980521
R07,1784956066145824692,0.2628068618709346,0.25500490378856827,0.5946833317127039,28.580756849
R07,1784956068372960390,0.43764771288818055,0.35158189212883534,0.3916074914587274,30.807892547
R07,1784956069157220281,0.5163005094972929,0.37808051539771476,0.17012915526694936,31.592152438
R07,1784956070075513543,0.6202358506952568,0.37772734502042904,-0.05487496797705841,32.5104457
R07,1784956070991946360,0.7125091398534897,0.34921635767092457,-0.2856826707883411,33.426878517
R07,1784956071910388336,0.7991791837990698,0.30392446600262363,-0.4995270632148875,34.345320493
R07,1784956073220176927,0.9134418762524764,0.2090295422027541,-0.7183886684082829,35.655109084
R07,1784956075708450842,1.0493802611851555,0.09225454388279203,-0.44412334768252015,38.143382999
R07,1784956076107310595,1.0660843144148142,0.09723138551148545,-0.14210869420685848,38.542242752
R08,1784956201902314631,-0.6911068645671657,-0.037800333930670775,-0.0017037844135586015,0.437519399
R08,1784956226371776805,-0.3972511510229176,-0.05719521691370953,-0.08563585122344299,24.906981573
R08,1784956229384440852,-0.09853814805349813,-0.09675239406958337,-0.3357246571918657,27.91964562
R08,1784956230953755255,0.01664805051986163,-0.15592563978563515,-0.5569750127399986,29.488960023
R08,1784956233837449867,0.19449366317916045,-0.2914391399582368,-0.576053452734767,32.372654635
R08,1784956235539373568,0.33675048536498786,-0.3863643754150497,-0.3761469110197147,34.074578336
R08,1784956236718433734,0.44449165777069094,-0.42056964904508365,-0.16754353969479507,35.253638502
R08,1784956237767047426,0.5498260328671805,-0.4271500358407374,0.047367790891296724,36.302252194
R08,1784956238817022282,0.6483089489813892,-0.40770927302659404,0.2755386340946038,37.35222705
R08,1784956241566378196,0.872648602273002,-0.32360408153519643,0.4437223399397162,40.101582964
R08,1784956243662854514,1.040395304409396,-0.23814782867785095,0.6371055426612906,42.198059282
R08,1784956244580530675,1.083197332550613,-0.21585795737184177,0.36574536490202825,43.115735443
R08,1784956244840993211,1.0964413282824546,-0.20326127929888146,0.17521839322284583,43.376197979
R09,1784956416491571372,-0.6896256948437218,-0.03864418238352811,0.000583292197759698,0.0
